frame,x,y,time,dt,dx,dy,vx,vy,dvx,dvy,ax,ay,x_m,y_m,vx_m,vy_m,ax_m,ay_m
0,854,220,0.00000,,,,,,,,,,1.82187,0.46933,,,,
1,854,221,0.03333,0.03333,0.00000,1.00000,0.00000,30.00000,,,,,1.82187,0.47147,0.00000,0.06400,,
2,853,221,0.06667,0.03333,-1.00000,0.00000,-30.00000,0.00000,-30.00000,-30.00000,-900.00000,-900.00000,1.81973,0.47147,-0.06400,0.00000,-1.92000,-1.92000
3,750,205,0.10000,0.03333,-103.00000,-16.00000,-3090.00000,-480.00000,-3060.00000,-480.00000,-91800.00000,-14400.00000,1.60000,0.43733,-6.59200,-1.02400,-195.84000,-30.72000
4,850,217,0.13333,0.03333,100.00000,12.00000,3000.00000,360.00000,6090.00000,840.00000,182700.00000,25200.00000,1.81333,0.46293,6.40000,0.76800,389.76000,53.76000
5,850,218,0.16667,0.03333,0.00000,1.00000,0.00000,30.00000,-3000.00000,-330.00000,-90000.00000,-9900.00000,1.81333,0.46507,0.00000,0.06400,-192.00000,-21.12000
6,748,206,0.20000,0.03333,-102.00000,-12.00000,-3060.00000,-360.00000,-3060.00000,-390.00000,-91800.00000,-11700.00000,1.59573,0.43947,-6.52800,-0.76800,-195.84000,-24.96000
7,760,222,0.23333,0.03333,12.00000,16.00000,360.00000,480.00000,3420.00000,840.00000,102600.00000,25200.00000,1.62133,0.47360,0.76800,1.02400,218.88000,53.76000
8,760,223,0.26667,0.03333,0.00000,1.00000,0.00000,30.00000,-360.00000,-450.00000,-10800.00000,-13500.00000,1.62133,0.47573,0.00000,0.06400,-23.04000,-28.80000
9,742,198,0.30000,0.03333,-18.00000,-25.00000,-540.00000,-750.00000,-540.00000,-780.00000,-16200.00000,-23400.00000,1.58293,0.42240,-1.15200,-1.60000,-34.56000,-49.92000
10,864,227,0.33333,0.03333,122.00000,29.00000,3660.00000,870.00000,4200.00000,1620.00000,126000.00000,48600.00000,1.84320,0.48427,7.80800,1.85600,268.80000,103.68000
11,744,199,0.36667,0.03333,-120.00000,-28.00000,-3600.00000,-840.00000,-7260.00000,-1710.00000,-217800.00000,-51300.00000,1.58720,0.42453,-7.68000,-1.79200,-464.64000,-109.44000
12,743,198,0.40000,0.03333,-1.00000,-1.00000,-30.00000,-30.00000,3570.00000,810.00000,107100.00000,24300.00000,1.58507,0.42240,-0.06400,-0.06400,228.48000,51.84000
13,865,227,0.43333,0.03333,122.00000,29.00000,3660.00000,870.00000,3690.00000,900.00000,110700.00000,27000.00000,1.84533,0.48427,7.80800,1.85600,236.16000,57.60000
14,866,227,0.46667,0.03333,1.00000,0.00000,30.00000,0.00000,-3630.00000,-870.00000,-108900.00000,-26100.00000,1.84747,0.48427,0.06400,0.00000,-232.32000,-55.68000
15,865,227,0.50000,0.03333,-1.00000,0.00000,-30.00000,0.00000,-60.00000,0.00000,-1800.00000,0.00000,1.84533,0.48427,-0.06400,0.00000,-3.84000,0.00000
16,865,227,0.53333,0.03333,0.00000,0.00000,0.00000,0.00000,30.00000,0.00000,900.00000,0.00000,1.84533,0.48427,0.00000,0.00000,1.92000,0.00000
17,866,227,0.56667,0.03333,1.00000,0.00000,30.00000,0.00000,30.00000,0.00000,900.00000,0.00000,1.84747,0.48427,0.06400,0.00000,1.92000,0.00000
18,865,227,0.60000,0.03333,-1.00000,0.00000,-30.00000,0.00000,-60.00000,0.00000,-1800.00000,0.00000,1.84533,0.48427,-0.06400,0.00000,-3.84000,0.00000
19,866,227,0.63333,0.03333,1.00000,0.00000,30.00000,0.00000,60.00000,0.00000,1800.00000,0.00000,1.84747,0.48427,0.06400,0.00000,3.84000,0.00000
20,867,227,0.66667,0.03333,1.00000,0.00000,30.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.84960,0.48427,0.06400,0.00000,0.00000,0.00000
21,872,230,0.70000,0.03333,5.00000,3.00000,150.00000,90.00000,120.00000,90.00000,3600.00000,2700.00000,1.86027,0.49067,0.32000,0.19200,7.68000,5.76000
22,871,232,0.73333,0.03333,-1.00000,2.00000,-30.00000,60.00000,-180.00000,-30.00000,-5400.00000,-900.00000,1.85813,0.49493,-0.06400,0.12800,-11.52000,-1.92000
23,864,226,0.76667,0.03333,-7.00000,-6.00000,-210.00000,-180.00000,-180.00000,-240.00000,-5400.00000,-7200.00000,1.84320,0.48213,-0.44800,-0.38400,-11.52000,-15.36000
24,819,200,0.80000,0.03333,-45.00000,-26.00000,-1350.00000,-780.00000,-1140.00000,-600.00000,-34200.00000,-18000.00000,1.74720,0.42667,-2.88000,-1.66400,-72.96000,-38.40000
25,756,208,0.83333,0.03333,-63.00000,8.00000,-1890.00000,240.00000,-540.00000,1020.00000,-16200.00000,30600.00000,1.61280,0.44373,-4.03200,0.51200,-34.56000,65.28000
26,750,201,0.86667,0.03333,-6.00000,-7.00000,-180.00000,-210.00000,1710.00000,-450.00000,51300.00000,-13500.00000,1.60000,0.42880,-0.38400,-0.44800,109.44000,-28.80000
27,746,201,0.90000,0.03333,-4.00000,0.00000,-120.00000,0.00000,60.00000,210.00000,1800.00000,6300.00000,1.59147,0.42880,-0.25600,0.00000,3.84000,13.44000
28,775,232,0.93333,0.03333,29.00000,31.00000,870.00000,930.00000,990.00000,930.00000,29700.00000,27900.00000,1.65333,0.49493,1.85600,1.98400,63.36000,59.52000
29,746,201,0.96667,0.03333,-29.00000,-31.00000,-870.00000,-930.00000,-1740.00000,-1860.00000,-52200.00000,-55800.00000,1.59147,0.42880,-1.85600,-1.98400,-111.36000,-119.04000
30,813,199,1.00000,0.03333,67.00000,-2.00000,2010.00000,-60.00000,2880.00000,870.00000,86400.00000,26100.00000,1.73440,0.42453,4.28800,-0.12800,184.32000,55.68000
31,822,198,1.03333,0.03333,9.00000,-1.00000,270.00000,-30.00000,-1740.00000,30.00000,-52200.00000,900.00000,1.75360,0.42240,0.57600,-0.06400,-111.36000,1.92000
32,1200,31,1.06667,0.03333,378.00000,-167.00000,11340.00000,-5010.00000,11070.00000,-4980.00000,332100.00000,-149400.00000,2.56000,0.06613,24.19200,-10.68800,708.48000,-318.72000
33,1200,30,1.10000,0.03333,0.00000,-1.00000,0.00000,-30.00000,-11340.00000,4980.00000,-340200.00000,149400.00000,2.56000,0.06400,0.00000,-0.06400,-725.76000,318.72000
34,1200,31,1.13333,0.03333,0.00000,1.00000,0.00000,30.00000,0.00000,60.00000,0.00000,1800.00000,2.56000,0.06613,0.00000,0.06400,0.00000,3.84000
35,741,198,1.16667,0.03333,-459.00000,167.00000,-13770.00000,5010.00000,-13770.00000,4980.00000,-413100.00000,149400.00000,1.58080,0.42240,-29.37600,10.68800,-881.28000,318.72000
