frame,x,y,time,dt,dx,dy,vx,vy,dvx,dvy,ax,ay,x_m,y_m,vx_m,vy_m,ax_m,ay_m
36,792,211,1.20000,0.03333,51.00000,13.00000,1530.00000,390.00000,15300.00000,-4620.00000,459000.00000,-138600.00000,1.68960,0.45013,3.26400,0.83200,979.20000,-295.68000
37,746,201,1.23333,0.03333,-46.00000,-10.00000,-1380.00000,-300.00000,-2910.00000,-690.00000,-87300.00000,-20700.00000,1.59147,0.42880,-2.94400,-0.64000,-186.24000,-44.16000
38,794,211,1.26667,0.03333,48.00000,10.00000,1440.00000,300.00000,2820.00000,600.00000,84600.00000,18000.00000,1.69387,0.45013,3.07200,0.64000,180.48000,38.40000
39,794,210,1.30000,0.03333,0.00000,-1.00000,0.00000,-30.00000,-1440.00000,-330.00000,-43200.00000,-9900.00000,1.69387,0.44800,0.00000,-0.06400,-92.16000,-21.12000
40,846,224,1.33333,0.03333,52.00000,14.00000,1560.00000,420.00000,1560.00000,450.00000,46800.00000,13500.00000,1.80480,0.47787,3.32800,0.89600,99.84000,28.80000
41,842,228,1.36667,0.03333,-4.00000,4.00000,-120.00000,120.00000,-1680.00000,-300.00000,-50400.00000,-9000.00000,1.79627,0.48640,-0.25600,0.25600,-107.52000,-19.20000
42,834,230,1.40000,0.03333,-8.00000,2.00000,-240.00000,60.00000,-120.00000,-60.00000,-3600.00000,-1800.00000,1.77920,0.49067,-0.51200,0.12800,-7.68000,-3.84000
43,835,229,1.43333,0.03333,1.00000,-1.00000,30.00000,-30.00000,270.00000,-90.00000,8100.00000,-2700.00000,1.78133,0.48853,0.06400,-0.06400,17.28000,-5.76000
44,833,227,1.46667,0.03333,-2.00000,-2.00000,-60.00000,-60.00000,-90.00000,-30.00000,-2700.00000,-900.00000,1.77707,0.48427,-0.12800,-0.12800,-5.76000,-1.92000
45,790,212,1.50000,0.03333,-43.00000,-15.00000,-1290.00000,-450.00000,-1230.00000,-390.00000,-36900.00000,-11700.00000,1.68533,0.45227,-2.75200,-0.96000,-78.72000,-24.96000
46,787,211,1.53333,0.03333,-3.00000,-1.00000,-90.00000,-30.00000,1200.00000,420.00000,36000.00000,12600.00000,1.67893,0.45013,-0.19200,-0.06400,76.80000,26.88000
47,786,211,1.56667,0.03333,-1.00000,0.00000,-30.00000,0.00000,60.00000,30.00000,1800.00000,900.00000,1.67680,0.45013,-0.06400,0.00000,3.84000,1.92000
48,798,205,1.60000,0.03333,12.00000,-6.00000,360.00000,-180.00000,390.00000,-180.00000,11700.00000,-5400.00000,1.70240,0.43733,0.76800,-0.38400,24.96000,-11.52000
49,785,206,1.63333,0.03333,-13.00000,1.00000,-390.00000,30.00000,-750.00000,210.00000,-22500.00000,6300.00000,1.67467,0.43947,-0.83200,0.06400,-48.00000,13.44000
50,782,208,1.66667,0.03333,-3.00000,2.00000,-90.00000,60.00000,300.00000,30.00000,9000.00000,900.00000,1.66827,0.44373,-0.19200,0.12800,19.20000,1.92000
51,788,207,1.70000,0.03333,6.00000,-1.00000,180.00000,-30.00000,270.00000,-90.00000,8100.00000,-2700.00000,1.68107,0.44160,0.38400,-0.06400,17.28000,-5.76000
52,762,208,1.73333,0.03333,-26.00000,1.00000,-780.00000,30.00000,-960.00000,60.00000,-28800.00000,1800.00000,1.62560,0.44373,-1.66400,0.06400,-61.44000,3.84000
53,768,209,1.76667,0.03333,6.00000,1.00000,180.00000,30.00000,960.00000,0.00000,28800.00000,0.00000,1.63840,0.44587,0.38400,0.06400,61.44000,0.00000
54,1172,6,1.80000,0.03333,404.00000,-203.00000,12120.00000,-6090.00000,11940.00000,-6120.00000,358200.00000,-183600.00000,2.50027,0.01280,25.85600,-12.99200,764.16000,-391.68000
55,1182,6,1.83333,0.03333,10.00000,0.00000,300.00000,0.00000,-11820.00000,6090.00000,-354600.00000,182700.00000,2.52160,0.01280,0.64000,0.00000,-756.48000,389.76000
56,773,202,1.86667,0.03333,-409.00000,196.00000,-12270.00000,5880.00000,-12570.00000,5880.00000,-377100.00000,176400.00000,1.64907,0.43093,-26.17600,12.54400,-804.48000,376.32000
57,727,166,1.90000,0.03333,-46.00000,-36.00000,-1380.00000,-1080.00000,10890.00000,-6960.00000,326700.00000,-208800.00000,1.55093,0.35413,-2.94400,-2.30400,696.96000,-445.44000
58,1194,3,1.93333,0.03333,467.00000,-163.00000,14010.00000,-4890.00000,15390.00000,-3810.00000,461700.00000,-114300.00000,2.54720,0.00640,29.88800,-10.43200,984.96000,-243.84000
59,825,200,1.96667,0.03333,-369.00000,197.00000,-11070.00000,5910.00000,-25080.00000,10800.00000,-752400.00000,324000.00000,1.76000,0.42667,-23.61600,12.60800,-1605.12000,691.20000
60,1194,3,2.00000,0.03333,369.00000,-197.00000,11070.00000,-5910.00000,22140.00000,-11820.00000,664200.00000,-354600.00000,2.54720,0.00640,23.61600,-12.60800,1416.96000,-756.48000
61,1196,6,2.03333,0.03333,2.00000,3.00000,60.00000,90.00000,-11010.00000,6000.00000,-330300.00000,180000.00000,2.55147,0.01280,0.12800,0.19200,-704.64000,384.00000
62,1194,3,2.06667,0.03333,-2.00000,-3.00000,-60.00000,-90.00000,-120.00000,-180.00000,-3600.00000,-5400.00000,2.54720,0.00640,-0.12800,-0.19200,-7.68000,-11.52000
63,1196,6,2.10000,0.03333,2.00000,3.00000,60.00000,90.00000,120.00000,180.00000,3600.00000,5400.00000,2.55147,0.01280,0.12800,0.19200,7.68000,11.52000
64,1194,3,2.13333,0.03333,-2.00000,-3.00000,-60.00000,-90.00000,-120.00000,-180.00000,-3600.00000,-5400.00000,2.54720,0.00640,-0.12800,-0.19200,-7.68000,-11.52000
65,1194,3,2.16667,0.03333,0.00000,0.00000,0.00000,0.00000,60.00000,90.00000,1800.00000,2700.00000,2.54720,0.00640,0.00000,0.00000,3.84000,5.76000
66,1192,3,2.20000,0.03333,-2.00000,0.00000,-60.00000,0.00000,-60.00000,0.00000,-1800.00000,0.00000,2.54293,0.00640,-0.12800,0.00000,-3.84000,0.00000
67,1187,2,2.23333,0.03333,-5.00000,-1.00000,-150.00000,-30.00000,-90.00000,-30.00000,-2700.00000,-900.00000,2.53227,0.00427,-0.32000,-0.06400,-5.76000,-1.92000
68,862,224,2.26667,0.03333,-325.00000,222.00000,-9750.00000,6660.00000,-9600.00000,6690.00000,-288000.00000,200700.00000,1.83893,0.47787,-20.80000,14.20800,-614.40000,428.16000
69,951,50,2.30000,0.03333,89.00000,-174.00000,2670.00000,-5220.00000,12420.00000,-11880.00000,372600.00000,-356400.00000,2.02880,0.10667,5.69600,-11.13600,794.88000,-760.32000
70,951,48,2.33333,0.03333,0.00000,-2.00000,0.00000,-60.00000,-2670.00000,5160.00000,-80100.00000,154800.00000,2.02880,0.10240,0.00000,-0.12800,-170.88000,330.24000
71,951,48,2.36667,0.03333,0.00000,0.00000,0.00000,0.00000,0.00000,60.00000,0.00000,1800.00000,2.02880,0.10240,0.00000,0.00000,0.00000,3.84000
72,951,48,2.40000,0.03333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.02880,0.10240,0.00000,0.00000,0.00000,0.00000
